model,seed_count,average_composite_f1,vote_composite_f1
claude45sonnet,3,0.8946969696969697,0.9090909090909091
gemini3flash,3,0.8241012441012442,0.8866666666666667
minimaxm21,3,0.8132537732537733,0.8
gpt5mini,3,0.8052904869127216,0.8064935064935065
llama3370b,3,0.7297895902547066,0.8571428571428571
deepseekv32,3,0.6695507557576522,0.8444444444444444
qwen3max,3,0.7496396396396396,0.7333333333333334
